bin 20000 de 0.00386817
threshold 4.4484 6.11171
1.09856 1.54401e-08 0 0
1.10243 1.55028e-08 0 0
1.1063 1.55655e-08 0 0
1.11017 1.56281e-08 0 0
1.11403 1.56907e-08 0 0
1.1179 1.57533e-08 0 0
1.12177 1.58159e-08 0 0
1.12564 1.58784e-08 0 0
1.12951 1.59409e-08 0 0
1.13337 1.60033e-08 0 0
1.13724 1.60658e-08 0 0
1.14111 1.61282e-08 0 0
1.14498 1.61905e-08 0 0
1.14885 1.62529e-08 0 0
1.15272 1.63152e-08 0 0
1.15658 1.63774e-08 0 0
1.16045 1.64397e-08 0 0
1.16432 1.65019e-08 0 0
1.16819 1.6564e-08 0 0
1.17206 1.66262e-08 0 0
1.17592 1.66883e-08 0 0
1.17979 1.67503e-08 0 0
1.18366 1.68124e-08 0 0
1.18753 1.68744e-08 0 0
1.1914 1.69363e-08 0 0
1.19527 1.69982e-08 0 0
1.19913 1.70601e-08 0 0
1.203 1.7122e-08 0 0
1.20687 1.71838e-08 0 0
1.21074 1.72456e-08 0 0
1.21461 1.73073e-08 0 0
1.21847 1.7369e-08 0 0
1.22234 1.74307e-08 0 0
1.22621 1.74923e-08 0 0
1.23008 1.75539e-08 0 0
1.23395 1.76155e-08 0 0
1.23782 1.7677e-08 0 0
1.24168 1.77385e-08 0 0
1.24555 1.77999e-08 0 0
1.24942 1.78613e-08 0 0
1.25329 1.79227e-08 0 0
1.25716 1.7984e-08 0 0
1.26102 1.80453e-08 0 0
1.26489 1.81065e-08 0 0
1.26876 1.81677e-08 0 0
1.27263 1.82289e-08 0 0
1.2765 1.829e-08 0 0
1.28037 1.83511e-08 0 0
1.28423 1.84121e-08 0 0
1.2881 1.84731e-08 0 0
1.29197 1.85341e-08 0 0
1.29584 1.8595e-08 0 0
1.29971 1.86559e-08 0 0
1.30357 1.87167e-08 0 0
1.30744 1.87775e-08 0 0
1.31131 1.88383e-08 0 0
1.31518 1.8899e-08 0 0
1.31905 1.89597e-08 0 0
1.32292 1.90203e-08 0 0
1.32678 1.90809e-08 0 0
1.33065 1.91414e-08 0 0
1.33452 1.92019e-08 0 0
1.33839 1.92624e-08 0 0
1.34226 1.93228e-08 0 0
1.34612 1.93832e-08 0 0
1.34999 1.94435e-08 0 0
1.35386 1.95038e-08 0 0
1.35773 1.95641e-08 0 0
