bin 20000 de 0.00773635
threshold 0
2.78509 7.40613e-08 1.41595e-07
2.79282 7.39675e-08 1.41591e-07
2.80056 7.38738e-08 1.41588e-07
2.80829 7.37803e-08 1.41585e-07
2.81603 7.3687e-08 1.41582e-07
2.82377 7.35938e-08 1.41579e-07
2.8315 7.35008e-08 1.41576e-07
2.83924 7.3408e-08 1.41573e-07
2.84698 7.33154e-08 1.41571e-07
2.85471 7.3223e-08 1.41568e-07
2.86245 7.31307e-08 1.41565e-07
2.87019 7.30386e-08 1.41563e-07
2.87792 7.29467e-08 1.4156e-07
2.88566 7.28549e-08 1.41558e-07
2.89339 7.27634e-08 1.41555e-07
2.90113 7.2672e-08 1.41553e-07
2.90887 7.25807e-08 1.4155e-07
2.9166 7.24897e-08 1.41548e-07
2.92434 7.23988e-08 1.41546e-07
2.93208 7.23081e-08 1.41544e-07
2.93981 7.22176e-08 1.41542e-07
2.94755 7.21272e-08 1.4154e-07
2.95528 7.2037e-08 1.41538e-07
2.96302 7.1947e-08 1.41536e-07
2.97076 7.18572e-08 1.41534e-07
2.97849 7.17675e-08 1.41532e-07
2.98623 7.1678e-08 1.4153e-07
2.99397 7.15887e-08 1.41528e-07
3.0017 7.14996e-08 1.41527e-07
3.00944 7.14106e-08 1.41525e-07
3.01718 7.13218e-08 1.41523e-07
3.02491 7.12332e-08 1.41522e-07
3.03265 7.11448e-08 1.4152e-07
3.04038 7.10565e-08 1.41519e-07
3.04812 7.09684e-08 1.41517e-07
3.05586 7.08805e-08 1.41516e-07
3.06359 7.07927e-08 1.41515e-07
3.07133 7.07051e-08 1.41513e-07
3.07907 7.06177e-08 1.41512e-07
3.0868 7.05304e-08 1.41511e-07
3.09454 7.04434e-08 1.41509e-07
3.10228 7.03565e-08 1.41508e-07
3.11001 7.02697e-08 1.41507e-07
3.11775 7.01832e-08 1.41506e-07
3.12548 7.00968e-08 1.41505e-07
3.13322 7.00106e-08 1.41504e-07
3.14096 6.99245e-08 1.41503e-07
3.14869 6.98387e-08 1.41502e-07
3.15643 6.9753e-08 1.41501e-07
3.16417 6.96674e-08 1.415e-07
3.1719 6.9582e-08 1.41499e-07
3.17964 6.94969e-08 1.41499e-07
3.18738 6.94118e-08 1.41498e-07
3.19511 6.9327e-08 1.41497e-07
3.20285 6.92423e-08 1.41496e-07
3.21058 6.91577e-08 1.41496e-07
3.21832 6.90734e-08 1.41495e-07
3.22606 6.89892e-08 1.41494e-07
3.23379 6.89052e-08 1.41494e-07
3.24153 6.88213e-08 1.41493e-07
3.24927 6.87376e-08 1.41493e-07
